zone_id,date,trips_thousands
Z029,2025-02-24,7.01434077094447
Z084,2025-01-27,10.216425432019014
Z103,2025-01-31,6.7653294203351075
Z061,2025-02-26,14.267951686180995
Z009,2025-01-17,11.720421860938051
Z131,2025-03-12,4.750775261935434
Z010,2025-02-16,12.154641466221477
Z081,2025-03-15,10.81467693808662
Z128,2025-03-11,13.933414654439884
Z129,2025-03-27,13.437300699155909
Z191,2025-02-06,12.700878255427106
Z172,2025-01-08,9.834225524125731
Z130,2025-02-28,6.11385346424667
Z084,2025-03-11,9.780745968871097
Z030,2025-01-13,9.746159368794025
Z116,2025-03-08,12.043483780888318
Z071,2025-03-25,7.131440548380844
Z066,2025-02-14,9.486361855348441
Z056,2025-01-24,11.768835708903888
Z115,2025-02-22,11.87870788738439
Z151,2025-02-21,11.277982889770392
Z006,2025-01-01,10.795926798305326
Z095,2025-01-28,8.552074577910318
Z048,2025-03-27,11.735009664115658
Z026,2025-01-17,9.628090877490108
Z115,2025-03-19,11.281401508241117
Z161,2025-03-03,10.262447152624723
Z200,2025-01-19,12.394642416574834
Z136,2025-01-27,9.50401415410516
Z166,2025-01-11,9.025900951389039
Z076,2025-01-29,12.176749119312737
Z093,2025-02-26,10.887290605709005
Z180,2025-01-18,12.941890235623076
Z023,2025-02-11,6.798021427886283
Z169,2025-03-10,14.056687038039927
Z108,2025-03-29,5.157783493443205
Z076,2025-02-24,10.494404320695661
Z166,2025-01-04,14.226981262532862
Z130,2025-03-14,9.236529198267057
Z083,2025-02-24,11.264731356526525
Z046,2025-03-11,12.347473660479231
Z041,2025-01-09,11.233269873059315
Z108,2025-03-20,7.821582358914469
Z047,2025-02-19,11.953688054305486
Z100,2025-02-11,10.968943124919269
Z136,2025-01-20,11.019291239708936
Z050,2025-01-01,12.101711043330788
Z004,2025-02-13,13.496159429566276
Z088,2025-01-11,5.625874762711531
Z083,2025-01-12,11.835892113515818
Z065,2025-02-10,7.2682699668729285
Z019,2025-01-05,11.490678018426319
Z155,2025-02-15,13.435175378644047
Z197,2025-02-25,11.297190959501327
Z174,2025-02-10,9.235700523869745
Z155,2025-03-14,11.849581918413739
Z033,2025-01-30,5.364067515355083
Z086,2025-02-16,14.359600548853479
Z013,2025-01-08,15.107700370689255
Z148,2025-03-14,13.703337040065719
Z061,2025-03-07,9.946847642055728
Z166,2025-03-04,8.562024306795665
Z097,2025-01-22,9.04070428009922
Z136,2025-03-03,10.909859715029787
