zone_id,date,business_density,retail_count
Z001,2025-01-01,360.4004821616545,79.0
Z001,2025-01-02,114.77386110750388,155.0
Z001,2025-01-03,317.9118475663718,63.0
Z001,2025-01-04,,62.0
Z001,2025-01-05,466.4849935333464,153.0
Z001,2025-01-06,,174.0
Z001,2025-01-07,,192.0
Z001,2025-01-08,363.1088649449502,42.0
Z001,2025-01-09,256.10999525071645,141.0
Z001,2025-01-10,91.44286395480606,160.0
Z001,2025-01-11,299.0205572570183,103.0
Z001,2025-01-12,338.73435897230956,125.0
Z001,2025-01-13,366.7065399457284,83.0
Z001,2025-01-14,217.9669165082415,172.0
Z001,2025-01-15,,
Z001,2025-01-16,252.8089137225109,71.0
Z001,2025-01-17,352.42521743851404,67.0
Z001,2025-01-18,312.6006352961683,80.0
Z001,2025-01-19,286.5902988016107,36.0
Z001,2025-01-20,162.28596507721187,59.0
Z001,2025-01-21,50.90833298670526,
Z001,2025-01-22,128.33675389014317,108.0
Z001,2025-01-23,102.6797186408759,88.0
Z001,2025-01-24,252.08813525492604,104.0
Z001,2025-01-25,325.5161678428301,45.0
Z001,2025-01-26,,59.0
Z001,2025-01-27,472.57569318523423,115.0
Z001,2025-01-28,53.0069581507495,136.0
Z001,2025-01-29,397.5354568244043,155.0
Z001,2025-01-30,331.342146288699,92.0
Z001,2025-01-31,218.09966047145684,64.0
Z001,2025-02-01,,36.0
Z001,2025-02-02,332.3689573029257,188.0
Z001,2025-02-03,223.52608078954162,96.0
Z001,2025-02-04,471.32021273594864,156.0
Z001,2025-02-05,293.89553370039465,110.0
Z001,2025-02-06,472.8431800820787,125.0
Z001,2025-02-07,149.21766206298685,120.0
Z001,2025-02-08,376.5766596638465,122.0
Z001,2025-02-09,327.7620593819266,43.0
Z001,2025-02-10,382.7337034240903,92.0
Z001,2025-02-11,146.60053878764154,140.0
Z001,2025-02-12,349.24753230699815,125.0
Z001,2025-02-13,274.1181768755911,158.0
Z001,2025-02-14,384.2712387078423,54.0
Z001,2025-02-15,197.170089868318,176.0
Z001,2025-02-16,450.5256614593637,155.0
Z001,2025-02-17,87.93559157510768,36.0
Z001,2025-02-18,,159.0
Z001,2025-02-19,437.59383161679085,112.0
Z001,2025-02-20,417.76354011506953,128.0
Z001,2025-02-21,,69.0
Z001,2025-02-22,247.27324101384258,133.0
Z001,2025-02-23,498.31802893619454,43.0
Z001,2025-02-24,153.12737804637294,56.0
Z001,2025-02-25,296.09418464422004,30.0
Z001,2025-02-26,351.8039864220465,118.0
Z001,2025-02-27,365.3904361376444,74.0
Z001,2025-02-28,141.8110995823604,46.0
Z001,2025-03-01,344.29734155291055,86.0
Z001,2025-03-02,418.26630491660177,21.0
Z001,2025-03-03,72.5083595695005,87.0
Z001,2025-03-04,460.1845819963924,165.0
Z001,2025-03-05,63.27682481534267,167.0
Z001,2025-03-06,210.18696461977746,82.0
Z001,2025-03-07,57.11593830483293,91.0
Z001,2025-03-08,84.71532584281184,149.0
Z001,2025-03-09,460.02572833103557,102.0
Z001,2025-03-10,209.68737383576652,61.0
Z001,2025-03-11,241.1471886912738,175.0
Z001,2025-03-12,146.90497162214868,176.0
Z001,2025-03-13,,126.0
Z001,2025-03-14,317.6614466050053,47.0
Z001,2025-03-15,217.49017632134866,124.0
Z001,2025-03-16,199.86569231242927,131.0
Z001,2025-03-17,448.23393868126453,152.0
Z001,2025-03-18,222.47790783899063,34.0
Z001,2025-03-19,272.0754464694837,129.0
Z001,2025-03-20,177.4871430912188,92.0
Z001,2025-03-21,404.0462765107073,179.0
Z001,2025-03-22,228.85167060459122,199.0
Z001,2025-03-23,,109.0
Z001,2025-03-24,164.01072652684763,56.0
Z001,2025-03-25,494.4468165535633,162.0
Z001,2025-03-26,,188.0
Z001,2025-03-27,396.83413890749824,23.0
Z001,2025-03-28,242.37304266054164,103.0
Z001,2025-03-29,142.79783228786295,174.0
Z001,2025-03-30,409.87344378418754,
Z001,2025-03-31,200.12305506306942,79.0
Z002,2025-01-01,439.33700632901497,105.0
Z002,2025-01-02,461.86573321302035,90.0
Z002,2025-01-03,436.92072592607417,194.0
