zone_id,date,air_quality_index
Z001,2025-01-01,
Z001,2025-01-02,131.86222616605457
Z001,2025-01-03,86.66590646159814
Z001,2025-01-04,79.27231511309107
Z001,2025-01-05,147.7730916016052
Z001,2025-01-06,107.63537005335088
Z001,2025-01-07,139.477334995544
Z001,2025-01-08,87.82226252926706
Z001,2025-01-09,145.0315187966273
Z001,2025-01-10,115.59657240692847
Z001,2025-01-11,94.78438173301164
Z001,2025-01-12,14.510960921813254
Z001,2025-01-13,32.65871699069447
Z001,2025-01-14,112.03902183993422
Z001,2025-01-15,24.353436478157903
Z001,2025-01-16,28.004535045344586
Z001,2025-01-17,13.921930622772216
Z001,2025-01-18,42.26142287410436
Z001,2025-01-19,27.55679521577185
Z001,2025-01-20,31.049505810692303
Z001,2025-01-21,
Z001,2025-01-22,52.371448706992126
Z001,2025-01-23,107.27304177018388
Z001,2025-01-24,115.53522068055811
Z001,2025-01-25,144.13237741673925
Z001,2025-01-26,60.25987677476034
Z001,2025-01-27,82.4523439333594
Z001,2025-01-28,73.90392658713473
Z001,2025-01-29,26.541209297040915
Z001,2025-01-30,58.863215536758574
Z001,2025-01-31,100.8281759997974
Z001,2025-02-01,141.16679414264217
Z001,2025-02-02,
Z001,2025-02-03,24.116872552511527
Z001,2025-02-04,71.20426980678819
Z001,2025-02-05,30.110401609822812
Z001,2025-02-06,41.93516726654959
Z001,2025-02-07,138.49139090914827
Z001,2025-02-08,124.18255042377417
Z001,2025-02-09,88.54294126501817
Z001,2025-02-10,
Z001,2025-02-11,13.02469448286594
Z001,2025-02-12,127.65569037390549
Z001,2025-02-13,
Z001,2025-02-14,86.67817712456778
Z001,2025-02-15,17.263077154070068
Z001,2025-02-16,
Z001,2025-02-17,66.0445418030887
Z001,2025-02-18,72.04176659363071
Z001,2025-02-19,59.74632318705902
Z001,2025-02-20,41.20983657800815
Z001,2025-02-21,56.65858290448189
Z001,2025-02-22,58.204449213562526
Z001,2025-02-23,105.79756245179713
Z001,2025-02-24,120.24072105791464
Z001,2025-02-25,44.62695461371313
Z001,2025-02-26,66.38807020458135
Z001,2025-02-27,15.518615318991753
Z001,2025-02-28,114.61195944308258
Z001,2025-03-01,5.736079356147961
Z001,2025-03-02,30.986015982291782
Z001,2025-03-03,54.76146905258851
Z001,2025-03-04,76.24449492536844
Z001,2025-03-05,135.02814460379682
Z001,2025-03-06,10.973634789702846
Z001,2025-03-07,
Z001,2025-03-08,
Z001,2025-03-09,
Z001,2025-03-10,46.55241147917143
Z001,2025-03-11,44.29109804234314
Z001,2025-03-12,69.26579418333496
Z001,2025-03-13,59.255715384969236
Z001,2025-03-14,63.52156836803742
Z001,2025-03-15,38.328826417035735
Z001,2025-03-16,56.75932958197057
Z001,2025-03-17,
Z001,2025-03-18,88.05932273551107
Z001,2025-03-19,10.087611444446825
Z001,2025-03-20,82.75894669948987
Z001,2025-03-21,84.12388574990527
Z001,2025-03-22,29.615623031159732
Z001,2025-03-23,19.943591767848446
Z001,2025-03-24,2.6913877624881124
Z001,2025-03-25,7.111217112781559
Z001,2025-03-26,104.67778420074339
Z001,2025-03-27,92.98241072813082
Z001,2025-03-28,4.012741837826805
Z001,2025-03-29,45.690147022647984
Z001,2025-03-30,41.46519789897227
Z001,2025-03-31,65.01699356324005
Z002,2025-01-01,79.0336094298337
Z002,2025-01-02,134.50552916593787
Z002,2025-01-03,26.614448460475582
Z002,2025-01-04,143.52998076865757
Z002,2025-01-05,112.59097580058956
Z002,2025-01-06,35.99660333014325
Z002,2025-01-07,85.99110529377337
Z002,2025-01-08,55.41035835305863
Z002,2025-01-09,53.85818919518802
Z002,2025-01-10,100.23403542521413
Z002,2025-01-11,18.540346932900263
Z002,2025-01-12,55.183996130599745
Z002,2025-01-13,145.49103207807818
Z002,2025-01-14,62.384570136453895
Z002,2025-01-15,10.915092092455957
Z002,2025-01-16,15.260123919996198
Z002,2025-01-17,9.237053543324603
Z002,2025-01-18,92.33316026811579
Z002,2025-01-19,33.209562214375474
Z002,2025-01-20,20.45518472352617
Z002,2025-01-21,
Z002,2025-01-22,5.832548449519387
Z002,2025-01-23,89.09861002081614
Z002,2025-01-24,142.8063220513325
Z002,2025-01-25,23.658009016330343
Z002,2025-01-26,
Z002,2025-01-27,66.21356786746325
Z002,2025-01-28,98.7510354330226
Z002,2025-01-29,
Z002,2025-01-30,31.740792002953622
Z002,2025-01-31,149.11130244821695
Z002,2025-02-01,139.13132522119946
Z002,2025-02-02,34.34657191134692
Z002,2025-02-03,4.30483025227803
Z002,2025-02-04,115.25708681645848
Z002,2025-02-05,4.1067810162195855
Z002,2025-02-06,78.21653214585609
Z002,2025-02-07,3.8420329932949193
Z002,2025-02-08,121.79485736368488
Z002,2025-02-09,11.871445858815566
Z002,2025-02-10,120.29391332479776
Z002,2025-02-11,59.30483544689022
Z002,2025-02-12,94.61859356346731
Z002,2025-02-13,97.32437479191718
Z002,2025-02-14,131.16197925811892
Z002,2025-02-15,
Z002,2025-02-16,52.53487978853148
