zone_id,date,temperature,precipitation
Z001,2025-01-01,34.415936981800016,10.802593994437473
Z001,2025-01-02,,17.033551982139976
Z001,2025-01-03,21.47243132367744,17.904098906288624
Z001,2025-01-04,19.884914656200742,
Z001,2025-01-05,15.431153987888962,6.856925022810692
Z001,2025-01-06,22.435789929723978,22.249100112776038
Z001,2025-01-07,29.417483302822188,37.34351640685316
Z001,2025-01-08,34.689460955917625,2.24677597557333
Z001,2025-01-09,28.171644083630607,4.7163542802214184
Z001,2025-01-10,18.84355004915409,17.364764204999855
Z001,2025-01-11,10.57169670907948,1.0477763411388947
Z001,2025-01-12,16.9728720877153,7.464981529188344
Z001,2025-01-13,30.62976460773293,35.48525491898567
Z001,2025-01-14,32.13286639043763,0.4063817972137732
Z001,2025-01-15,23.20365550590498,4.407700439697731
Z001,2025-01-16,34.61313729003592,9.542618023947634
Z001,2025-01-17,19.246708444766632,4.242828308632113
Z001,2025-01-18,15.74810213071919,1.8450255495693901
Z001,2025-01-19,33.59576396374136,26.20880824571635
Z001,2025-01-20,14.992124205482327,0.7922263283040359
Z001,2025-01-21,28.93143316321749,0.02951987724643585
Z001,2025-01-22,21.37499328894031,2.1483534879827664
Z001,2025-01-23,27.25573613780478,7.660848663322009
Z001,2025-01-24,19.23496475404774,10.652597751579327
Z001,2025-01-25,12.69531323713699,10.00640310711822
Z001,2025-01-26,,3.0388129362275924
Z001,2025-01-27,23.30672739906918,30.55995291835036
Z001,2025-01-28,24.8611541263804,4.897996235861107
Z001,2025-01-29,27.50401573683757,16.160990488374004
Z001,2025-01-30,14.302740498230786,7.969427788284765
Z001,2025-01-31,34.65999644180435,7.0669570214675295
Z001,2025-02-01,22.662718118099946,36.5715673680704
Z001,2025-02-02,21.35873016761998,0.6400378624534252
Z001,2025-02-03,23.364473778874494,26.243077509158503
Z001,2025-02-04,12.400495921912054,0.24912239016099766
Z001,2025-02-05,14.810122566276526,
Z001,2025-02-06,28.27513351205631,
Z001,2025-02-07,33.464273753189616,11.753130618533042
Z001,2025-02-08,33.513522116942966,9.366327984811495
Z001,2025-02-09,29.826636592605844,24.211937517659297
Z001,2025-02-10,20.953041574590802,13.84322665284259
Z001,2025-02-11,32.459882118725254,1.8017281009181212
